Gene	Cell Type
POU3F4	Alpha cells
NKX2-2	Alpha cells
RESP18	Alpha cells
PYY	Alpha cells
PCSK2	Alpha cells
SLC38A5	Alpha cells
TM4SF4	Alpha cells
CRYBA2	Alpha cells
NKX6-1	Alpha cells
KCNK16	Alpha cells
PCSK1	Alpha cells
PRRG2	Alpha cells
IRX2	Alpha cells
ALDH1A1	Alpha cells
PEMT	Alpha cells
CHGA	Alpha cells
SMIM24	Alpha cells
F10	Alpha cells
SCGN	Alpha cells
SLC30A8	Alpha cells
SH3GL2	Alpha cells
FAP	Alpha cells
DPP4	Alpha cells
GPR119	Alpha cells
MAFB	Alpha cells
PAX6	Alpha cells
NEUROD1	Alpha cells
LOXL4	Alpha cells
PLCE1	Alpha cells
GC	Alpha cells
KLHL41	Alpha cells
FEV	Alpha cells
PTGER3	Alpha cells
RFX6	Alpha cells
SMARCA1	Alpha cells
PGR	Alpha cells
LDB2	Alpha cells
IRX1	Alpha cells
UCP2	Alpha cells
FXYD5	Alpha cells
RGS4	Alpha cells
GLS	Alpha cells
CHIL3	Alveolar macrophages
PLET1	Alveolar macrophages
IL1B	Alveolar macrophages
WFDC21	Alveolar macrophages
BGLAP3	Alveolar macrophages
CCL3	Alveolar macrophages
G0S2	Alveolar macrophages
CXCL2	Alveolar macrophages
MCEMP1	Alveolar macrophages
KLHDC4	Alveolar macrophages
BCL2A1D	Alveolar macrophages
GDA	Alveolar macrophages
CLEC7A	Alveolar macrophages
BCL2A1B	Alveolar macrophages
ITGAX	Alveolar macrophages
TNFAIP2	Alveolar macrophages
CD36	Alveolar macrophages
GAL	Alveolar macrophages
CAR4	Alveolar macrophages
EAR2	Alveolar macrophages
TLR2	Alveolar macrophages
GPNMB	Alveolar macrophages
MRC1	Alveolar macrophages
LYZ1	Alveolar macrophages
MARCO	Alveolar macrophages
CSF2RB	Alveolar macrophages
MPP1	Alveolar macrophages
TRIM25	Alveolar macrophages
EAR1	Alveolar macrophages
OLR1	Alveolar macrophages
S100A4	Alveolar macrophages
GNGT2	Alveolar macrophages
SIGLECF	Alveolar macrophages
AGA	Anterior pituitary gland cells
ANGPT1	Anterior pituitary gland cells
CHGA	Anterior pituitary gland cells
CPEB4	Anterior pituitary gland cells
GH	Anterior pituitary gland cells
IGSF1	Anterior pituitary gland cells
MEST	Anterior pituitary gland cells
NKTR	Anterior pituitary gland cells
NUCB2	Anterior pituitary gland cells
PITX2	Anterior pituitary gland cells
POU1F1	Anterior pituitary gland cells
PRL	Anterior pituitary gland cells
RAB27A	Anterior pituitary gland cells
RCN3	Anterior pituitary gland cells
SEZ6L2	Anterior pituitary gland cells
SIX6	Anterior pituitary gland cells
TBRG1	Anterior pituitary gland cells
TMEM130	Anterior pituitary gland cells
POMC	Anterior pituitary gland cells
GMPPA	Anterior pituitary gland cells
TRIM30B	Anterior pituitary gland cells
GNB3	Anterior pituitary gland cells
HEPACAM2	Anterior pituitary gland cells
ASB4	Anterior pituitary gland cells
RAX	Anterior pituitary gland cells
NKX2-1	Anterior pituitary gland cells
FGF10	Anterior pituitary gland cells
FSHB	Anterior pituitary gland cells
PCSK1	Anterior pituitary gland cells
GNRHR	Anterior pituitary gland cells
PITX1	Anterior pituitary gland cells
TSHB	Anterior pituitary gland cells
PAX7	Anterior pituitary gland cells
LHB	Anterior pituitary gland cells
S100B	Astrocytes
SLC1A2	Astrocytes
GFAP	Astrocytes
BYSL	Astrocytes
ALDH1L1	Astrocytes
CD40	Astrocytes
SLC1A3	Astrocytes
FGFR3	Astrocytes
GJB6	Astrocytes
AQP4	Astrocytes
HTRA1	Astrocytes
S100A8	Astrocytes
CLDN10	Astrocytes
ITIH3	Astrocytes
NKAIN4	Astrocytes
ACSL6	Astrocytes
ACSBG1	Astrocytes
TRIL	Astrocytes
AGT	Astrocytes
GPR37L1	Astrocytes
SLC4A4	Astrocytes
NTSR2	Astrocytes
SLC6A11	Astrocytes
HSPA2	Astrocytes
SLC16A2	Astrocytes
SYNE1	Astrocytes
DIO2	Astrocytes
SLC7A10	Astrocytes
ENTPD2	Astrocytes
HSPB6	Astrocytes
PLXNB1	Astrocytes
LCAT	Astrocytes
PLA2G7	Astrocytes
CMTM5	Astrocytes
S1PR1	Astrocytes
SLC39A12	Astrocytes
LUZP2	Astrocytes
GSTA4	Astrocytes
SLC25A28	Astrocytes
SLC25A46	Astrocytes
WNT3	Astrocytes
FZD2	Astrocytes
TEAD1	Astrocytes
RLBP1	Astrocytes
ALDOC	Astrocytes
GJA1	Astrocytes
APOE	Astrocytes
LCN2	Astrocytes
SOX9	Astrocytes
VIM	Astrocytes
CCR7	Astrocytes
AANAT	Astrocytes
FABP7	Astrocytes
SOCS3	Astrocytes
SYNM	Astrocytes
HMG20A	Astrocytes
NFATC3	Astrocytes
SRR	Astrocytes
SLC1A6	Astrocytes
ETS1	Astrocytes
SLIT1	Astrocytes
SNPH	Astrocytes
IL23A	Astrocytes
CD2	B cells
CD5	B cells
MS4A1	B cells
CR2	B cells
CD22	B cells
CD40	B cells
CD69	B cells
CD70	B cells
CD79A	B cells
CD79B	B cells
CD80	B cells
CD86	B cells
TNFRSF9	B cells
SDC1	B cells
TNFSF4	B cells
TNFRSF13B	B cells
TNFRSF13C	B cells
PDCD1	B cells
IGHD	B cells
IGHM	B cells
RASGRP3	B cells
LTB	B cells
FLI1	B cells
CD14	B cells
SEMA6D	B cells
LAIR1	B cells
IFIT3	B cells
IGLL1	B cells
DNTT	B cells
MME	B cells
SPN	B cells
CD19	B cells
CD27	B cells
B3GAT1	B cells
CD72	B cells
MUM1	B cells
PAX5	B cells
JCHAIN	B cells
MZB1	B cells
LY6D	B cells
H2-DMB2	B cells
FCMR	B cells
BANK1	B cells
EDEM1	B cells
VPREB3	B cells
H2-OB	B cells
POU2AF1	B cells
CRELD2	B cells
DERL3	B cells
SIGLECG	B cells
RALGPS2	B cells
FCHSD2	B cells
POLD4	B cells
CMAH	B cells
TNFRSF17	B cells
HVCN1	B cells
TRP53INP1	B cells
FCRLA	B cells
EDEM2	B cells
BLNK	B cells
H2-OA	B cells
TXNDC11	B cells
BTLA	B cells
SMAP2	B cells
SCD1	B cells
FKBP11	B cells
SEC61A1	B cells
SPCS3	B cells
SPIB	B cells
EAF2	B cells
CXCR4	B cells
BIRC3	B cells
IGLC2	B cells
IGLC3	B cells
IGLC1	B cells
IL21R	B cells
IGKC	B cells
IGLV1	B cells
VPREB1	B cells
VPREB2	B cells
LRMP	B cells
KLHL6	B cells
SLAMF6	B cells
FAM129C	B cells
BST1	B cells
MSH5	B cells
DOK3	B cells
BACH2	B cells
FCER2A	B cells
PXK	B cells
IGHG1	B cells
IGHG3	B cells
IGHA	B cells
CD38	B cells
PTPRC	B cells
EBF1	B cells
BCL11A	B cells
CCR7	B cells
CD55	B cells
CD74	B cells
CD52	B cells
TLR9	B cells
SWAP70	B cells
HMGA1	B cells
CD38	B cells memory
CD80	B cells memory
CD84	B cells memory
CD86	B cells memory
NT5E	B cells memory
PAX5	B cells memory
PTPRC	B cells memory
SPIB	B cells memory
ADAM28	B cells memory
AIM2	B cells memory
ALOX5	B cells memory
BACH2	B cells memory
BANK1	B cells memory
BLK	B cells memory
CCR6	B cells memory
CD180	B cells memory
CD19	B cells memory
CD22	B cells memory
CD27	B cells memory
CD37	B cells memory
CD69	B cells memory
CD72	B cells memory
CD79A	B cells memory
CD79B	B cells memory
CR2	B cells memory
CXCR5	B cells memory
DENND5B	B cells memory
FCGR2B	B cells memory
FRK	B cells memory
GNG7	B cells memory
HHEX	B cells memory
IGHD	B cells memory
IGHM	B cells memory
IGKC	B cells memory
IL7	B cells memory
IRF8	B cells memory
LTB	B cells memory
LY86	B cells memory
MBL2	B cells memory
MS4A1	B cells memory
NMBR	B cells memory
P2RX5	B cells memory
PNOC	B cells memory
PTPRCAP	B cells memory
RALGPS2	B cells memory
RASGRP2	B cells memory
SIK1	B cells memory
SIT1	B cells memory
SLC12A1	B cells memory
SP140	B cells memory
STAP1	B cells memory
TMEM156	B cells memory
TNFRSF13B	B cells memory
TNFRSF17	B cells memory
TRAF4	B cells memory
VPREB3	B cells memory
ZBTB32	B cells memory
CD19	B cells naive
CD2	B cells naive
CD72	B cells naive
IL2RA	B cells naive
MME	B cells naive
ABCB4	B cells naive
ADAM28	B cells naive
BACH2	B cells naive
BANK1	B cells naive
BCL7A	B cells naive
BEND5	B cells naive
BLK	B cells naive
BRAF	B cells naive
CD180	B cells naive
CD22	B cells naive
CD37	B cells naive
CD69	B cells naive
CD79A	B cells naive
CD79B	B cells naive
CR2	B cells naive
CXCR5	B cells naive
EAF2	B cells naive
FCGR2B	B cells naive
FRK	B cells naive
HHEX	B cells naive
IGHD	B cells naive
IGHM	B cells naive
IGKC	B cells naive
IRF8	B cells naive
LTB	B cells naive
LY86	B cells naive
MEP1A	B cells naive
MICAL3	B cells naive
MS4A1	B cells naive
NMBR	B cells naive
P2RX5	B cells naive
P2RY14	B cells naive
PNOC	B cells naive
PTPRCAP	B cells naive
RALGPS2	B cells naive
RASGRP2	B cells naive
SELL	B cells naive
SIK1	B cells naive
SLC12A1	B cells naive
SPIB	B cells naive
STAP1	B cells naive
UGT1A8	B cells naive
VPREB3	B cells naive
TNFSF8	B cells naive
FOXP1	B cells naive
MITF	B cells naive
CD52	B cells naive
TNFRSF13C	B cells naive
STAG3	B cells naive
BIRC3	B cells naive
CD74	B cells naive
KRT5	Basal cells
KRT17	Basal cells
BCL2	Basal cells
KRT14	Basal cells
CDH3	Basal cells
KRT6B	Basal cells
METTL5	Basal cells
ANXA11	Basal cells
TMEM14A	Basal cells
BNIP3	Basal cells
TYMP	Basal cells
DPP7	Basal cells
OPTN	Basal cells
PLAU	Basal cells
CAPN1	Basal cells
BACE2	Basal cells
CTNNB1	Basal cells
ILK	Basal cells
PKP3	Basal cells
ITGA3	Basal cells
SRSF4	Basal cells
RAB38	Basal cells
ALKBH7	Basal cells
DNPH1	Basal cells
KRT23	Basal cells
SLC16A3	Basal cells
GYPC	Basal cells
DUSP23	Basal cells
RARRES1	Basal cells
ITGA2	Basal cells
SLC25A37	Basal cells
ITGB6	Basal cells
ITGB4	Basal cells
SPHK1	Basal cells
ACTG2	Basal cells
IRF6	Basal cells
RAB13	Basal cells
LAMB3	Basal cells
ACADVL	Basal cells
MMP7	Basal cells
HEBP2	Basal cells
FBXO32	Basal cells
SERINC2	Basal cells
NNMT	Basal cells
KRT15	Basal cells
PLP2	Basal cells
S100A14	Basal cells
LAMC2	Basal cells
BMP7	Basal cells
MYLK	Basal cells
CD69	Basophils
IL3RA	Basophils
CCR3	Basophils
ENPP3	Basophils
FCER1A	Basophils
TLR4	Basophils
LTC4S	Basophils
CPA3	Basophils
ITGAL	Basophils
ITGAM	Basophils
ITGAX	Basophils
ITGB7	Basophils
IL4	Basophils
MCPT8	Basophils
PRSS34	Basophils
MS4A2	Basophils
MS4A3	Basophils
HDC	Basophils
GATA2	Basophils
CCL3	Basophils
CD33	Basophils
CD44	Basophils
CDH1	Basophils
HTR1B	Basophils
IGFBP7	Basophils
MRGPRA6	Basophils
DNASE2B	Basophils
FADS2	Basophils
GPC4	Basophils
GRM6	Basophils
ACSS2	Basophils
ADORA2B	Basophils
ALOX8	Basophils
AQP9	Basophils
BACE1	Basophils
BMP4	Basophils
CABLES1	Basophils
CCL4	Basophils
CCL9	Basophils
CEBPA	Basophils
DEFB40	Basophils
E2F8	Basophils
FADS1	Basophils
FAR2	Basophils
FBXO9	Basophils
GABBR1	Basophils
GPR183	Basophils
HGF	Basophils
HIST1H1D	Basophils
HIST1H2AC	Basophils
IFITM1	Basophils
INF2	Basophils
JAZF1	Basophils
L1CAM	Basophils
LAMA5	Basophils
MBOAT1	Basophils
NFIL3	Basophils
NPL	Basophils
NT5C3	Basophils
OSBPL5	Basophils
OTUB2	Basophils
P2RY1	Basophils
PDK3	Basophils
PDZD4	Basophils
PERP	Basophils
PLEKHG5	Basophils
PLG	Basophils
RNF39	Basophils
SLC26A3	Basophils
SLC26A8	Basophils
SNCAIP	Basophils
ST6GALNAC5	Basophils
TULP3	Basophils
TEC	Basophils
UNC93A	Basophils
WRN	Basophils
ID1	Basophils
GFAP	Bergmann glia
GDF10	Bergmann glia
GJB6	Bergmann glia
GRIA4	Bergmann glia
GRM3	Bergmann glia
NTSR2	Bergmann glia
ITIH3	Bergmann glia
A2M	Bergmann glia
PTCH1	Bergmann glia
CDC42EP4	Bergmann glia
BTBD17	Bergmann glia
AQP4	Bergmann glia
SLC4A4	Bergmann glia
HOPX	Bergmann glia
GPR37L1	Bergmann glia
ACSBG1	Bergmann glia
ALDH1L1	Bergmann glia
SLC1A3	Bergmann glia
SLC1A2	Bergmann glia
S100B	Bergmann glia
VIM	Bergmann glia
FABP7	Bergmann glia
TTC21B	Bergmann glia
HEPACAM	Bergmann glia
ZEB2	Bergmann glia
UFL1	Bergmann glia
NRXN3	Bergmann glia
ATP7A	Bergmann glia
BICD2	Bergmann glia
GJA1	Bergmann glia
METRN	Bergmann glia
P2RX7	Bergmann glia
EGFR	Bergmann glia
GRIA1	Bergmann glia
P2RY1	Bergmann glia
GRIN2B	Bergmann glia
GRIN3A	Bergmann glia
SEPT4	Bergmann glia
DAO	Bergmann glia
ITGB1	Bergmann glia
KIF1BP	Bergmann glia
GCGR	Beta cells
JPH3	Beta cells
CD40	Beta cells
HAMP	Beta cells
EZH1	Beta cells
NTRK1	Beta cells
PDX1	Beta cells
SLC2A2	Beta cells
NKX6-2	Beta cells
INS1	Beta cells
INS2	Beta cells
FXYD2	Beta cells
NPY	Beta cells
RIMS1	Beta cells
MAFA	Beta cells
EFNA5	Beta cells
LMX1A	Beta cells
NKX2-2	Beta cells
NKX6-1	Beta cells
PAX4	Beta cells
IAPP	Beta cells
PCSK2	Beta cells
G6PC2	Beta cells
SLC30A8	Beta cells
ERO1LB	Beta cells
PCSK1	Beta cells
GJD2	Beta cells
SCGN	Beta cells
IGF2	Beta cells
SYT13	Beta cells
FFAR2	Beta cells
NPTX2	Beta cells
PFKFB2	Beta cells
EDARADD	Beta cells
HOPX	Beta cells
SH3GL2	Beta cells
ADCYAP1	Beta cells
CASR	Beta cells
MAFB	Beta cells
PAX6	Beta cells
NEUROD1	Beta cells
ISL1	Beta cells
TGFBR3	Beta cells
SMAD9	Beta cells
SIX3	Beta cells
SIX2	Beta cells
BMP5	Beta cells
PIR	Beta cells
STXBP5	Beta cells
DLK1	Beta cells
MEG3	Beta cells
RGS16	Beta cells
RELN	Cajal-Retzius cells
DIABLO	Cajal-Retzius cells
ST3GAL5	Cajal-Retzius cells
ISOC1	Cajal-Retzius cells
SMOC2	Cajal-Retzius cells
DYNC1I1	Cajal-Retzius cells
NHLH2	Cajal-Retzius cells
CLSTN2	Cajal-Retzius cells
TMEM163	Cajal-Retzius cells
CACNA2D2	Cajal-Retzius cells
CIB2	Cajal-Retzius cells
LHX1OS	Cajal-Retzius cells
NDNF	Cajal-Retzius cells
LINGO1	Cajal-Retzius cells
LNPK	Cajal-Retzius cells
RNF138	Cajal-Retzius cells
TMEM170B	Cajal-Retzius cells
ABCC5	Cajal-Retzius cells
CNRIP1	Cajal-Retzius cells
EBF3	Cajal-Retzius cells
FUT9	Cajal-Retzius cells
PABPN1	Cajal-Retzius cells
GNL3L	Cajal-Retzius cells
NUDT2	Cajal-Retzius cells
SLC25A46	Cajal-Retzius cells
NSMCE3	Cajal-Retzius cells
DACH1	Cajal-Retzius cells
FAM69B	Cajal-Retzius cells
HOMER2	Cajal-Retzius cells
MAP9	Cajal-Retzius cells
DNM3	Cajal-Retzius cells
LZTFL1	Cajal-Retzius cells
FSD1	Cajal-Retzius cells
TCEAL1	Cajal-Retzius cells
RAB11FIP2	Cajal-Retzius cells
BARHL2	Cajal-Retzius cells
TRIM44	Cajal-Retzius cells
SLC17A6	Cajal-Retzius cells
B3GALT1	Cajal-Retzius cells
SLITRK5	Cajal-Retzius cells
ERC2	Cajal-Retzius cells
NBEA	Cajal-Retzius cells
SLC25A36	Cajal-Retzius cells
ZDBF2	Cajal-Retzius cells
MAPK8	Cajal-Retzius cells
GDF5	Cajal-Retzius cells
ACHE	Cajal-Retzius cells
CCM2	Cajal-Retzius cells
WRAP73	Cajal-Retzius cells
NRG1	Cajal-Retzius cells
ATP13A2	Cajal-Retzius cells
CNTNAP2	Cajal-Retzius cells
PNOC	Cajal-Retzius cells
LHX1	Cajal-Retzius cells
LINGO2	Cajal-Retzius cells
FAT3	Cajal-Retzius cells
SRGAP3	Cajal-Retzius cells
CDH4	Cajal-Retzius cells
FLRT3	Cajal-Retzius cells
EDIL3	Cajal-Retzius cells
CAR10	Cajal-Retzius cells
ZCCHC12	Cajal-Retzius cells
RALGPS2	Cajal-Retzius cells
FAM196A	Cajal-Retzius cells
SMAD1	Cajal-Retzius cells
TBR1	Cajal-Retzius cells
KCNH7	Cajal-Retzius cells
LHX5	Cajal-Retzius cells
CALB2	Cajal-Retzius cells
EMX2	Cajal-Retzius cells
ZIC2	Cajal-Retzius cells
WNT7B	Cajal-Retzius cells
AATF	Cajal-Retzius cells
NANOS1	Cajal-Retzius cells
TBCK	Cajal-Retzius cells
RGMB	Cajal-Retzius cells
DACT1	Cajal-Retzius cells
TRP73	Cajal-Retzius cells
EOMES	Cajal-Retzius cells
CNR1	Cajal-Retzius cells
MYH6	Cardiac stem and precursor cells
WT1	Cardiac stem and precursor cells
TBX18	Cardiac stem and precursor cells
FUT4	Cardiac stem and precursor cells
NKX2-5	Cardiac stem and precursor cells
ISL1	Cardiac stem and precursor cells
GATA4	Cardiac stem and precursor cells
ETV2	Cardiac stem and precursor cells
KIT	Cardiac stem and precursor cells
ABCG2	Cardiac stem and precursor cells
MESP1	Cardiac stem and precursor cells
BMP4	Cardiac stem and precursor cells
ADGRL2	Cardiac stem and precursor cells
TBX3	Cardiac stem and precursor cells
TBX4	Cardiac stem and precursor cells
WNT5A	Cardiac stem and precursor cells
ANKRD1	Cardiac stem and precursor cells
TNNC1	Cardiomyocytes
ADM	Cardiomyocytes
ALCAM 	Cardiomyocytes
NPPA	Cardiomyocytes
FGF2	Cardiomyocytes
NPPB	Cardiomyocytes
TNNI3	Cardiomyocytes
TNNT2	Cardiomyocytes
ANKRD1	Cardiomyocytes
NPPC	Cardiomyocytes
DES	Cardiomyocytes
HAND2	Cardiomyocytes
HAND1	Cardiomyocytes
GATA4	Cardiomyocytes
GATA6	Cardiomyocytes
MYL2	Cardiomyocytes
NKX2-5	Cardiomyocytes
PNMT	Cardiomyocytes
ACTA1	Cardiomyocytes
CD36	Cardiomyocytes
RBM20	Cardiomyocytes
VLDLR	Cardiomyocytes
ALPK3	Cardiomyocytes
RBM24	Cardiomyocytes
FABP4	Cardiomyocytes
CKMT2	Cardiomyocytes
SPEG	Cardiomyocytes
MYH7B	Cardiomyocytes
MYOM2	Cardiomyocytes
MYOM1	Cardiomyocytes
COX8B	Cardiomyocytes
PDLIM5	Cardiomyocytes
MYH7	Cardiomyocytes
PLN	Cardiomyocytes
TCAP	Cardiomyocytes
SORBS2	Cardiomyocytes
RYR2	Cardiomyocytes
OBSCN	Cardiomyocytes
ACTC1	Cardiomyocytes
MYL3	Cardiomyocytes
CORO6	Cardiomyocytes
PDE4D	Cardiomyocytes
NEXN	Cardiomyocytes
MHRT	Cardiomyocytes
FHL2	Cardiomyocytes
MYBPC3	Cardiomyocytes
MYH6	Cardiomyocytes
TTN	Cardiomyocytes
GPIHBP1	Cardiomyocytes
AQP1	Cardiomyocytes
DMD	Cardiomyocytes
MFN2	Cardiomyocytes
ASB2	Cardiomyocytes
ART3	Cardiomyocytes
RRAD	Cardiomyocytes
ADPRHL1	Cardiomyocytes
JPH2	Cardiomyocytes
PYGM	Cardiomyocytes
HSPB7	Cardiomyocytes
MYOZ2	Cardiomyocytes
ENO3	Cardiomyocytes
TRDN	Cardiomyocytes
ACTN2	Cardiomyocytes
TNNI1	Cardiomyocytes
SMPX	Cardiomyocytes
MYL7	Cardiomyocytes
TBX20	Cardiomyocytes
TRIM63	Cardiomyocytes
MB	Cardiomyocytes
CTGF	Cardiomyocytes
MYL4	Cardiomyocytes
LOX	Cardiomyocytes
CTNNB1	Cardiomyocytes
CPT1A	Cardiomyocytes
SOX18	Cardiomyocytes
NOTCH1	Cardiomyocytes
SLN	Cardiomyocytes
CSRP3	Cardiomyocytes
TXLNB	Cardiomyocytes
ATP2A2	Cardiomyocytes
CKM	Cardiomyocytes
CKB	Cardiomyocytes
CXCR4	Cardiomyocytes
MITF	Cardiomyocytes
ZFPM2	Cardiomyocytes
BDNF	Cardiomyocytes
GJA5	Cardiomyocytes
FMOD	Cardiomyocytes
MTTP	Cardiomyocytes
SLC5A1	Cardiomyocytes
ADIPOQ	Cardiomyocytes
TRPV1	Cardiomyocytes
HAMP	Cardiomyocytes
SGPL1	Cardiomyocytes
HMGB2	Cardiomyocytes
STC1	Cardiomyocytes
FGF23	Cardiomyocytes
STRN	Cardiomyocytes
HEY2	Cardiomyocytes
ADIPOR1	Cardiomyocytes
ADIPOR2	Cardiomyocytes
PDE1A	Cardiomyocytes
BMP4	Cardiomyocytes
CASQ2	Cardiomyocytes
TPM1	Cardiomyocytes
SSTR2	Cholangiocytes
SLC4A2	Cholangiocytes
SCTR	Cholangiocytes
KRT7	Cholangiocytes
KCNN2	Cholangiocytes
ITGB4	Cholangiocytes
GGT6	Cholangiocytes
