Gene	Cell_Type
MUC20	Airway_goblet_cells
SPDEF	Airway_goblet_cells
DUSP4	Airway_goblet_cells
NOG	Airway_smooth_muscle_cells
ACTA2	Airway_smooth_muscle_cells
FOXF1	Airway_smooth_muscle_cells
GATA5	Airway_smooth_muscle_cells
GCG	Alpha_cells
TTR	Alpha_cells
GLP1R	Alpha_cells
ARX	Alpha_cells
POU3F4	Alpha_cells
NKX2-2	Alpha_cells
RESP18	Alpha_cells
PYY	Alpha_cells
PCSK2	Alpha_cells
SLC38A5	Alpha_cells
TM4SF4	Alpha_cells
CRYBA2	Alpha_cells
NKX6-1	Alpha_cells
KCNK16	Alpha_cells
PCSK1	Alpha_cells
PRRG2	Alpha_cells
IRX2	Alpha_cells
ALDH1A1	Alpha_cells
PEMT	Alpha_cells
CHGA	Alpha_cells
SMIM24	Alpha_cells
F10	Alpha_cells
SCGN	Alpha_cells
SLC30A8	Alpha_cells
SH3GL2	Alpha_cells
FAP	Alpha_cells
DPP4	Alpha_cells
GPR119	Alpha_cells
MAFB	Alpha_cells
PAX6	Alpha_cells
NEUROD1	Alpha_cells
LOXL4	Alpha_cells
PLCE1	Alpha_cells
GC	Alpha_cells
KLHL41	Alpha_cells
FEV	Alpha_cells
PTGER3	Alpha_cells
RFX6	Alpha_cells
SMARCA1	Alpha_cells
PGR	Alpha_cells
LDB2	Alpha_cells
IRX1	Alpha_cells
UCP2	Alpha_cells
FXYD5	Alpha_cells
RGS4	Alpha_cells
GLS	Alpha_cells
CHIL3	Alveolar_macrophages
PLET1	Alveolar_macrophages
IL1B	Alveolar_macrophages
WFDC21	Alveolar_macrophages
BGLAP3	Alveolar_macrophages
CCL3	Alveolar_macrophages
G0S2	Alveolar_macrophages
CXCL2	Alveolar_macrophages
MCEMP1	Alveolar_macrophages
KLHDC4	Alveolar_macrophages
BCL2A1D	Alveolar_macrophages
GDA	Alveolar_macrophages
CLEC7A	Alveolar_macrophages
BCL2A1B	Alveolar_macrophages
ITGAX	Alveolar_macrophages
TNFAIP2	Alveolar_macrophages
CD36	Alveolar_macrophages
GAL	Alveolar_macrophages
CAR4	Alveolar_macrophages
EAR2	Alveolar_macrophages
TLR2	Alveolar_macrophages
GPNMB	Alveolar_macrophages
MRC1	Alveolar_macrophages
LYZ1	Alveolar_macrophages
MARCO	Alveolar_macrophages
CSF2RB	Alveolar_macrophages
MPP1	Alveolar_macrophages
TRIM25	Alveolar_macrophages
EAR1	Alveolar_macrophages
OLR1	Alveolar_macrophages
S100A4	Alveolar_macrophages
GNGT2	Alveolar_macrophages
SIGLECF	Alveolar_macrophages
AGA	Anterior_pituitary_gland_cells
ANGPT1	Anterior_pituitary_gland_cells
CHGA	Anterior_pituitary_gland_cells
CPEB4	Anterior_pituitary_gland_cells
GH	Anterior_pituitary_gland_cells
IGSF1	Anterior_pituitary_gland_cells
MEST	Anterior_pituitary_gland_cells
NKTR	Anterior_pituitary_gland_cells
NUCB2	Anterior_pituitary_gland_cells
PITX2	Anterior_pituitary_gland_cells
POU1F1	Anterior_pituitary_gland_cells
PRL	Anterior_pituitary_gland_cells
RAB27A	Anterior_pituitary_gland_cells
RCN3	Anterior_pituitary_gland_cells
SEZ6L2	Anterior_pituitary_gland_cells
SIX6	Anterior_pituitary_gland_cells
TBRG1	Anterior_pituitary_gland_cells
TMEM130	Anterior_pituitary_gland_cells
POMC	Anterior_pituitary_gland_cells
GMPPA	Anterior_pituitary_gland_cells
TRIM30B	Anterior_pituitary_gland_cells
GNB3	Anterior_pituitary_gland_cells
HEPACAM2	Anterior_pituitary_gland_cells
ASB4	Anterior_pituitary_gland_cells
RAX	Anterior_pituitary_gland_cells
NKX2-1	Anterior_pituitary_gland_cells
FGF10	Anterior_pituitary_gland_cells
FSHB	Anterior_pituitary_gland_cells
PCSK1	Anterior_pituitary_gland_cells
GNRHR	Anterior_pituitary_gland_cells
PITX1	Anterior_pituitary_gland_cells
TSHB	Anterior_pituitary_gland_cells
PAX7	Anterior_pituitary_gland_cells
LHB	Anterior_pituitary_gland_cells
S100B	Astrocytes
SLC1A2	Astrocytes
GFAP	Astrocytes
BYSL	Astrocytes
ALDH1L1	Astrocytes
CD40	Astrocytes
SLC1A3	Astrocytes
FGFR3	Astrocytes
GJB6	Astrocytes
AQP4	Astrocytes
HTRA1	Astrocytes
S100A8	Astrocytes
CLDN10	Astrocytes
ITIH3	Astrocytes
NKAIN4	Astrocytes
ACSL6	Astrocytes
ACSBG1	Astrocytes
TRIL	Astrocytes
AGT	Astrocytes
GPR37L1	Astrocytes
SLC4A4	Astrocytes
NTSR2	Astrocytes
SLC6A11	Astrocytes
HSPA2	Astrocytes
SLC16A2	Astrocytes
SYNE1	Astrocytes
DIO2	Astrocytes
SLC7A10	Astrocytes
ENTPD2	Astrocytes
HSPB6	Astrocytes
PLXNB1	Astrocytes
LCAT	Astrocytes
PLA2G7	Astrocytes
CMTM5	Astrocytes
S1PR1	Astrocytes
SLC39A12	Astrocytes
LUZP2	Astrocytes
GSTA4	Astrocytes
SLC25A28	Astrocytes
SLC25A46	Astrocytes
WNT3	Astrocytes
FZD2	Astrocytes
TEAD1	Astrocytes
RLBP1	Astrocytes
ALDOC	Astrocytes
GJA1	Astrocytes
APOE	Astrocytes
LCN2	Astrocytes
SOX9	Astrocytes
VIM	Astrocytes
CCR7	Astrocytes
AANAT	Astrocytes
FABP7	Astrocytes
SOCS3	Astrocytes
SYNM	Astrocytes
HMG20A	Astrocytes
NFATC3	Astrocytes
SRR	Astrocytes
SLC1A6	Astrocytes
ETS1	Astrocytes
SLIT1	Astrocytes
SNPH	Astrocytes
IL23A	Astrocytes
CD2	B_cells
CD5	B_cells
MS4A1	B_cells
CR2	B_cells
CD22	B_cells
CD40	B_cells
CD69	B_cells
CD70	B_cells
CD79A	B_cells
CD79B	B_cells
CD80	B_cells
CD86	B_cells
TNFRSF9	B_cells
SDC1	B_cells
TNFSF4	B_cells
TNFRSF13B	B_cells
TNFRSF13C	B_cells
PDCD1	B_cells
IGHD	B_cells
IGHM	B_cells
RASGRP3	B_cells
LTB	B_cells
FLI1	B_cells
CD14	B_cells
SEMA6D	B_cells
LAIR1	B_cells
IFIT3	B_cells
IGLL1	B_cells
DNTT	B_cells
MME	B_cells
SPN	B_cells
CD19	B_cells
CD27	B_cells
B3GAT1	B_cells
CD72	B_cells
MUM1	B_cells
PAX5	B_cells
JCHAIN	B_cells
MZB1	B_cells
LY6D	B_cells
H2-DMB2	B_cells
FCMR	B_cells
BANK1	B_cells
EDEM1	B_cells
VPREB3	B_cells
H2-OB	B_cells
POU2AF1	B_cells
CRELD2	B_cells
DERL3	B_cells
SIGLECG	B_cells
RALGPS2	B_cells
FCHSD2	B_cells
POLD4	B_cells
CMAH	B_cells
TNFRSF17	B_cells
HVCN1	B_cells
TRP53INP1	B_cells
FCRLA	B_cells
EDEM2	B_cells
BLNK	B_cells
H2-OA	B_cells
TXNDC11	B_cells
BTLA	B_cells
SMAP2	B_cells
SCD1	B_cells
FKBP11	B_cells
SEC61A1	B_cells
SPCS3	B_cells
SPIB	B_cells
EAF2	B_cells
CXCR4	B_cells
BIRC3	B_cells
IGLC2	B_cells
IGLC3	B_cells
IGLC1	B_cells
IL21R	B_cells
IGKC	B_cells
IGLV1	B_cells
VPREB1	B_cells
VPREB2	B_cells
LRMP	B_cells
KLHL6	B_cells
SLAMF6	B_cells
FAM129C	B_cells
BST1	B_cells
MSH5	B_cells
DOK3	B_cells
BACH2	B_cells
FCER2A	B_cells
PXK	B_cells
IGHG1	B_cells
IGHG3	B_cells
IGHA	B_cells
CD38	B_cells
PTPRC	B_cells
EBF1	B_cells
BCL11A	B_cells
CCR7	B_cells
CD55	B_cells
CD74	B_cells
CD52	B_cells
TLR9	B_cells
SWAP70	B_cells
HMGA1	B_cells
CD38	B_cells_memory
CD80	B_cells_memory
CD84	B_cells_memory
CD86	B_cells_memory
NT5E	B_cells_memory
PAX5	B_cells_memory
PTPRC	B_cells_memory
SPIB	B_cells_memory
ADAM28	B_cells_memory
AIM2	B_cells_memory
ALOX5	B_cells_memory
BACH2	B_cells_memory
BANK1	B_cells_memory
BLK	B_cells_memory
CCR6	B_cells_memory
CD180	B_cells_memory
CD19	B_cells_memory
CD22	B_cells_memory
CD27	B_cells_memory
CD37	B_cells_memory
CD69	B_cells_memory
CD72	B_cells_memory
CD79A	B_cells_memory
CD79B	B_cells_memory
CR2	B_cells_memory
CXCR5	B_cells_memory
DENND5B	B_cells_memory
FCGR2B	B_cells_memory
FRK	B_cells_memory
GNG7	B_cells_memory
HHEX	B_cells_memory
IGHD	B_cells_memory
IGHM	B_cells_memory
IGKC	B_cells_memory
IL7	B_cells_memory
IRF8	B_cells_memory
LTB	B_cells_memory
LY86	B_cells_memory
MBL2	B_cells_memory
MS4A1	B_cells_memory
NMBR	B_cells_memory
P2RX5	B_cells_memory
PNOC	B_cells_memory
PTPRCAP	B_cells_memory
RALGPS2	B_cells_memory
RASGRP2	B_cells_memory
SIK1	B_cells_memory
SIT1	B_cells_memory
SLC12A1	B_cells_memory
SP140	B_cells_memory
STAP1	B_cells_memory
TMEM156	B_cells_memory
TNFRSF13B	B_cells_memory
TNFRSF17	B_cells_memory
TRAF4	B_cells_memory
VPREB3	B_cells_memory
ZBTB32	B_cells_memory
CD19	B_cells_naive
CD2	B_cells_naive
CD72	B_cells_naive
IL2RA	B_cells_naive
MME	B_cells_naive
ABCB4	B_cells_naive
ADAM28	B_cells_naive
BACH2	B_cells_naive
BANK1	B_cells_naive
BCL7A	B_cells_naive
BEND5	B_cells_naive
BLK	B_cells_naive
BRAF	B_cells_naive
CD180	B_cells_naive
CD22	B_cells_naive
CD37	B_cells_naive
CD69	B_cells_naive
CD79A	B_cells_naive
CD79B	B_cells_naive
CR2	B_cells_naive
CXCR5	B_cells_naive
EAF2	B_cells_naive
FCGR2B	B_cells_naive
FRK	B_cells_naive
HHEX	B_cells_naive
IGHD	B_cells_naive
IGHM	B_cells_naive
IGKC	B_cells_naive
IRF8	B_cells_naive
LTB	B_cells_naive
LY86	B_cells_naive
MEP1A	B_cells_naive
MICAL3	B_cells_naive
MS4A1	B_cells_naive
NMBR	B_cells_naive
P2RX5	B_cells_naive
P2RY14	B_cells_naive
PNOC	B_cells_naive
PTPRCAP	B_cells_naive
RALGPS2	B_cells_naive
RASGRP2	B_cells_naive
SELL	B_cells_naive
SIK1	B_cells_naive
SLC12A1	B_cells_naive
SPIB	B_cells_naive
STAP1	B_cells_naive
UGT1A8	B_cells_naive
VPREB3	B_cells_naive
TNFSF8	B_cells_naive
FOXP1	B_cells_naive
MITF	B_cells_naive
CD52	B_cells_naive
TNFRSF13C	B_cells_naive
STAG3	B_cells_naive
BIRC3	B_cells_naive
CD74	B_cells_naive
KRT5	Basal_cells
KRT17	Basal_cells
BCL2	Basal_cells
KRT14	Basal_cells
CDH3	Basal_cells
KRT6B	Basal_cells
METTL5	Basal_cells
ANXA11	Basal_cells
TMEM14A	Basal_cells
BNIP3	Basal_cells
TYMP	Basal_cells
DPP7	Basal_cells
OPTN	Basal_cells
PLAU	Basal_cells
CAPN1	Basal_cells
BACE2	Basal_cells
CTNNB1	Basal_cells
ILK	Basal_cells
PKP3	Basal_cells
ITGA3	Basal_cells
SRSF4	Basal_cells
RAB38	Basal_cells
ALKBH7	Basal_cells
DNPH1	Basal_cells
KRT23	Basal_cells
SLC16A3	Basal_cells
GYPC	Basal_cells
DUSP23	Basal_cells
RARRES1	Basal_cells
ITGA2	Basal_cells
SLC25A37	Basal_cells
ITGB6	Basal_cells
ITGB4	Basal_cells
SPHK1	Basal_cells
ACTG2	Basal_cells
IRF6	Basal_cells
RAB13	Basal_cells
LAMB3	Basal_cells
ACADVL	Basal_cells
MMP7	Basal_cells
HEBP2	Basal_cells
FBXO32	Basal_cells
SERINC2	Basal_cells
NNMT	Basal_cells
KRT15	Basal_cells
PLP2	Basal_cells
S100A14	Basal_cells
LAMC2	Basal_cells
BMP7	Basal_cells
MYLK	Basal_cells
CD69	Basophils
IL3RA	Basophils
CCR3	Basophils
ENPP3	Basophils
FCER1A	Basophils
TLR4	Basophils
LTC4S	Basophils
CPA3	Basophils
ITGAL	Basophils
ITGAM	Basophils
ITGAX	Basophils
ITGB7	Basophils
IL4	Basophils
MCPT8	Basophils
PRSS34	Basophils
MS4A2	Basophils
MS4A3	Basophils
HDC	Basophils
GATA2	Basophils
CCL3	Basophils
CD33	Basophils
CD44	Basophils
CDH1	Basophils
HTR1B	Basophils
IGFBP7	Basophils
MRGPRA6	Basophils
DNASE2B	Basophils
FADS2	Basophils
GPC4	Basophils
GRM6	Basophils
ACSS2	Basophils
ADORA2B	Basophils
ALOX8	Basophils
AQP9	Basophils
BACE1	Basophils
BMP4	Basophils
CABLES1	Basophils
CCL4	Basophils
CCL9	Basophils
CEBPA	Basophils
DEFB40	Basophils
E2F8	Basophils
FADS1	Basophils
FAR2	Basophils
FBXO9	Basophils
GABBR1	Basophils
GPR183	Basophils
HGF	Basophils
HIST1H1D	Basophils
HIST1H2AC	Basophils
IFITM1	Basophils
INF2	Basophils
JAZF1	Basophils
L1CAM	Basophils
LAMA5	Basophils
MBOAT1	Basophils
NFIL3	Basophils
NPL	Basophils
NT5C3	Basophils
OSBPL5	Basophils
OTUB2	Basophils
P2RY1	Basophils
PDK3	Basophils
PDZD4	Basophils
PERP	Basophils
PLEKHG5	Basophils
PLG	Basophils
RNF39	Basophils
SLC26A3	Basophils
SLC26A8	Basophils
SNCAIP	Basophils
ST6GALNAC5	Basophils
TULP3	Basophils
TEC	Basophils
UNC93A	Basophils
WRN	Basophils
ID1	Basophils
GFAP	Bergmann_glia
GDF10	Bergmann_glia
GJB6	Bergmann_glia
GRIA4	Bergmann_glia
GRM3	Bergmann_glia
NTSR2	Bergmann_glia
ITIH3	Bergmann_glia
A2M	Bergmann_glia
PTCH1	Bergmann_glia
CDC42EP4	Bergmann_glia
BTBD17	Bergmann_glia
AQP4	Bergmann_glia
SLC4A4	Bergmann_glia
HOPX	Bergmann_glia
GPR37L1	Bergmann_glia
ACSBG1	Bergmann_glia
ALDH1L1	Bergmann_glia
SLC1A3	Bergmann_glia
SLC1A2	Bergmann_glia
S100B	Bergmann_glia
VIM	Bergmann_glia
FABP7	Bergmann_glia
TTC21B	Bergmann_glia
HEPACAM	Bergmann_glia
ZEB2	Bergmann_glia
UFL1	Bergmann_glia
NRXN3	Bergmann_glia
ATP7A	Bergmann_glia
BICD2	Bergmann_glia
GJA1	Bergmann_glia
METRN	Bergmann_glia
P2RX7	Bergmann_glia
EGFR	Bergmann_glia
GRIA1	Bergmann_glia
P2RY1	Bergmann_glia
GRIN2B	Bergmann_glia
GRIN3A	Bergmann_glia
SEPT4	Bergmann_glia
DAO	Bergmann_glia
ITGB1	Bergmann_glia
KIF1BP	Bergmann_glia
GCGR	Beta_cells
JPH3	Beta_cells
CD40	Beta_cells
HAMP	Beta_cells
EZH1	Beta_cells
NTRK1	Beta_cells
PDX1	Beta_cells
SLC2A2	Beta_cells
NKX6-2	Beta_cells
INS1	Beta_cells
INS2	Beta_cells
FXYD2	Beta_cells
NPY	Beta_cells
RIMS1	Beta_cells
MAFA	Beta_cells
EFNA5	Beta_cells
LMX1A	Beta_cells
NKX2-2	Beta_cells
NKX6-1	Beta_cells
PAX4	Beta_cells
IAPP	Beta_cells
PCSK2	Beta_cells
G6PC2	Beta_cells
SLC30A8	Beta_cells
ERO1LB	Beta_cells
PCSK1	Beta_cells
GJD2	Beta_cells
SCGN	Beta_cells
IGF2	Beta_cells
SYT13	Beta_cells
FFAR2	Beta_cells
NPTX2	Beta_cells
PFKFB2	Beta_cells
EDARADD	Beta_cells
HOPX	Beta_cells
SH3GL2	Beta_cells
ADCYAP1	Beta_cells
CASR	Beta_cells
MAFB	Beta_cells
PAX6	Beta_cells
NEUROD1	Beta_cells
ISL1	Beta_cells
TGFBR3	Beta_cells
SMAD9	Beta_cells
SIX3	Beta_cells
SIX2	Beta_cells
BMP5	Beta_cells
PIR	Beta_cells
STXBP5	Beta_cells
DLK1	Beta_cells
MEG3	Beta_cells
RGS16	Beta_cells
RELN	Cajal-Retzius_cells
DIABLO	Cajal-Retzius_cells
ST3GAL5	Cajal-Retzius_cells
ISOC1	Cajal-Retzius_cells
SMOC2	Cajal-Retzius_cells
DYNC1I1	Cajal-Retzius_cells
NHLH2	Cajal-Retzius_cells
CLSTN2	Cajal-Retzius_cells
TMEM163	Cajal-Retzius_cells
CACNA2D2	Cajal-Retzius_cells
CIB2	Cajal-Retzius_cells
LHX1OS	Cajal-Retzius_cells
NDNF	Cajal-Retzius_cells
LINGO1	Cajal-Retzius_cells
LNPK	Cajal-Retzius_cells
RNF138	Cajal-Retzius_cells
TMEM170B	Cajal-Retzius_cells
ABCC5	Cajal-Retzius_cells
CNRIP1	Cajal-Retzius_cells
EBF3	Cajal-Retzius_cells
FUT9	Cajal-Retzius_cells
PABPN1	Cajal-Retzius_cells
GNL3L	Cajal-Retzius_cells
NUDT2	Cajal-Retzius_cells
SLC25A46	Cajal-Retzius_cells
NSMCE3	Cajal-Retzius_cells
DACH1	Cajal-Retzius_cells
FAM69B	Cajal-Retzius_cells
HOMER2	Cajal-Retzius_cells
MAP9	Cajal-Retzius_cells
DNM3	Cajal-Retzius_cells
LZTFL1	Cajal-Retzius_cells
FSD1	Cajal-Retzius_cells
TCEAL1	Cajal-Retzius_cells
RAB11FIP2	Cajal-Retzius_cells
BARHL2	Cajal-Retzius_cells
TRIM44	Cajal-Retzius_cells
SLC17A6	Cajal-Retzius_cells
B3GALT1	Cajal-Retzius_cells
SLITRK5	Cajal-Retzius_cells
ERC2	Cajal-Retzius_cells
NBEA	Cajal-Retzius_cells
SLC25A36	Cajal-Retzius_cells
ZDBF2	Cajal-Retzius_cells
MAPK8	Cajal-Retzius_cells
GDF5	Cajal-Retzius_cells
ACHE	Cajal-Retzius_cells
CCM2	Cajal-Retzius_cells
WRAP73	Cajal-Retzius_cells
NRG1	Cajal-Retzius_cells
ATP13A2	Cajal-Retzius_cells
CNTNAP2	Cajal-Retzius_cells
PNOC	Cajal-Retzius_cells
LHX1	Cajal-Retzius_cells
LINGO2	Cajal-Retzius_cells
FAT3	Cajal-Retzius_cells
SRGAP3	Cajal-Retzius_cells
CDH4	Cajal-Retzius_cells
FLRT3	Cajal-Retzius_cells
EDIL3	Cajal-Retzius_cells
CAR10	Cajal-Retzius_cells
ZCCHC12	Cajal-Retzius_cells
RALGPS2	Cajal-Retzius_cells
FAM196A	Cajal-Retzius_cells
SMAD1	Cajal-Retzius_cells
TBR1	Cajal-Retzius_cells
KCNH7	Cajal-Retzius_cells
LHX5	Cajal-Retzius_cells
CALB2	Cajal-Retzius_cells
EMX2	Cajal-Retzius_cells
ZIC2	Cajal-Retzius_cells
WNT7B	Cajal-Retzius_cells
AATF	Cajal-Retzius_cells
NANOS1	Cajal-Retzius_cells
TBCK	Cajal-Retzius_cells
RGMB	Cajal-Retzius_cells
DACT1	Cajal-Retzius_cells
TRP73	Cajal-Retzius_cells
EOMES	Cajal-Retzius_cells
CNR1	Cajal-Retzius_cells
MYH6	Cardiac_stem_and_precursor_cells
WT1	Cardiac_stem_and_precursor_cells
TBX18	Cardiac_stem_and_precursor_cells
FUT4	Cardiac_stem_and_precursor_cells
NKX2-5	Cardiac_stem_and_precursor_cells
ISL1	Cardiac_stem_and_precursor_cells
GATA4	Cardiac_stem_and_precursor_cells
ETV2	Cardiac_stem_and_precursor_cells
KIT	Cardiac_stem_and_precursor_cells
ABCG2	Cardiac_stem_and_precursor_cells
MESP1	Cardiac_stem_and_precursor_cells
BMP4	Cardiac_stem_and_precursor_cells
ADGRL2	Cardiac_stem_and_precursor_cells
TBX3	Cardiac_stem_and_precursor_cells
TBX4	Cardiac_stem_and_precursor_cells
WNT5A	Cardiac_stem_and_precursor_cells
ANKRD1	Cardiac_stem_and_precursor_cells
TNNC1	Cardiomyocytes
ADM	Cardiomyocytes
ALCAM_	Cardiomyocytes
NPPA	Cardiomyocytes
FGF2	Cardiomyocytes
NPPB	Cardiomyocytes
TNNI3	Cardiomyocytes
TNNT2	Cardiomyocytes
ANKRD1	Cardiomyocytes
NPPC	Cardiomyocytes
DES	Cardiomyocytes
HAND2	Cardiomyocytes
HAND1	Cardiomyocytes
GATA4	Cardiomyocytes
GATA6	Cardiomyocytes
MYL2	Cardiomyocytes
NKX2-5	Cardiomyocytes
PNMT	Cardiomyocytes
ACTA1	Cardiomyocytes
CD36	Cardiomyocytes
RBM20	Cardiomyocytes
VLDLR	Cardiomyocytes
ALPK3	Cardiomyocytes
RBM24	Cardiomyocytes
FABP4	Cardiomyocytes
CKMT2	Cardiomyocytes
SPEG	Cardiomyocytes
MYH7B	Cardiomyocytes
MYOM2	Cardiomyocytes
MYOM1	Cardiomyocytes
COX8B	Cardiomyocytes
PDLIM5	Cardiomyocytes
MYH7	Cardiomyocytes
PLN	Cardiomyocytes
TCAP	Cardiomyocytes
SORBS2	Cardiomyocytes
RYR2	Cardiomyocytes
OBSCN	Cardiomyocytes
ACTC1	Cardiomyocytes
MYL3	Cardiomyocytes
CORO6	Cardiomyocytes
PDE4D	Cardiomyocytes
NEXN	Cardiomyocytes
MHRT	Cardiomyocytes
FHL2	Cardiomyocytes
MYBPC3	Cardiomyocytes
MYH6	Cardiomyocytes
TTN	Cardiomyocytes
