Gene	Cell_Type
SPDEF	Airway_goblet_cells
TFF2	Airway_goblet_cells
WFDC18	Airway_goblet_cells
ACTA2	Airway_smooth_muscle_cells
FOXF1	Airway_smooth_muscle_cells
GATA5	Airway_smooth_muscle_cells
NOG	Airway_smooth_muscle_cells
10,00 F	Alpha_cells
ALDH1A1	Alpha_cells
ARX	Alpha_cells
CHGA	Alpha_cells
CRYBA2	Alpha_cells
DPP4	Alpha_cells
FAP	Alpha_cells
FEV	Alpha_cells
FXYD5	Alpha_cells
GC	Alpha_cells
GCG	Alpha_cells
GLP1R	Alpha_cells
GLS	Alpha_cells
GPR119	Alpha_cells
IRX1	Alpha_cells
IRX2	Alpha_cells
KCNK16	Alpha_cells
KLHL41	Alpha_cells
LDB2	Alpha_cells
LOXL4	Alpha_cells
MAFB	Alpha_cells
NEUROD1	Alpha_cells
NKX2-2	Alpha_cells
NKX6-1	Alpha_cells
PAX6	Alpha_cells
PCSK1	Alpha_cells
PCSK2	Alpha_cells
PEMT	Alpha_cells
PGR	Alpha_cells
PLCE1	Alpha_cells
POU3F4	Alpha_cells
PRRG2	Alpha_cells
PTGER3	Alpha_cells
PYY	Alpha_cells
RESP18	Alpha_cells
RFX6	Alpha_cells
RGS4	Alpha_cells
SCGN	Alpha_cells
SH3GL2	Alpha_cells
SLC30A8	Alpha_cells
SLC38A5	Alpha_cells
SMARCA1	Alpha_cells
SMIM24	Alpha_cells
TM4SF4	Alpha_cells
TTR	Alpha_cells
UCP2	Alpha_cells
BCL2A1B	Alveolar_macrophages
BCL2A1D	Alveolar_macrophages
BGLAP3	Alveolar_macrophages
CAR4	Alveolar_macrophages
CCL3	Alveolar_macrophages
CD36	Alveolar_macrophages
CHIL3	Alveolar_macrophages
CLEC7A	Alveolar_macrophages
CSF2RB	Alveolar_macrophages
CXCL2	Alveolar_macrophages
EAR1	Alveolar_macrophages
EAR2	Alveolar_macrophages
G0S2	Alveolar_macrophages
GAL	Alveolar_macrophages
GDA	Alveolar_macrophages
GNGT2	Alveolar_macrophages
GPNMB	Alveolar_macrophages
IL1B	Alveolar_macrophages
ITGAX	Alveolar_macrophages
KLHDC4	Alveolar_macrophages
LYZ1	Alveolar_macrophages
MARCO	Alveolar_macrophages
MCEMP1	Alveolar_macrophages
MPP1	Alveolar_macrophages
MRC1	Alveolar_macrophages
OLR1	Alveolar_macrophages
PLET1	Alveolar_macrophages
S100A4	Alveolar_macrophages
SIGLECF	Alveolar_macrophages
TLR2	Alveolar_macrophages
TNFAIP2	Alveolar_macrophages
TRIM25	Alveolar_macrophages
WFDC21	Alveolar_macrophages
AGA	Anterior_pituitary_gland_cells
ANGPT1	Anterior_pituitary_gland_cells
ASB4	Anterior_pituitary_gland_cells
CHGA	Anterior_pituitary_gland_cells
CPEB4	Anterior_pituitary_gland_cells
FGF10	Anterior_pituitary_gland_cells
FSHB	Anterior_pituitary_gland_cells
GH	Anterior_pituitary_gland_cells
GMPPA	Anterior_pituitary_gland_cells
GNB3	Anterior_pituitary_gland_cells
GNRHR	Anterior_pituitary_gland_cells
HEPACAM2	Anterior_pituitary_gland_cells
IGSF1	Anterior_pituitary_gland_cells
LHB	Anterior_pituitary_gland_cells
MEST	Anterior_pituitary_gland_cells
NKTR	Anterior_pituitary_gland_cells
NKX2-1	Anterior_pituitary_gland_cells
NUCB2	Anterior_pituitary_gland_cells
PAX7	Anterior_pituitary_gland_cells
PCSK1	Anterior_pituitary_gland_cells
PITX1	Anterior_pituitary_gland_cells
PITX2	Anterior_pituitary_gland_cells
POMC	Anterior_pituitary_gland_cells
POU1F1	Anterior_pituitary_gland_cells
PRL	Anterior_pituitary_gland_cells
RAB27A	Anterior_pituitary_gland_cells
RAX	Anterior_pituitary_gland_cells
RCN3	Anterior_pituitary_gland_cells
SEZ6L2	Anterior_pituitary_gland_cells
SIX6	Anterior_pituitary_gland_cells
TBRG1	Anterior_pituitary_gland_cells
TMEM130	Anterior_pituitary_gland_cells
TRIM30B	Anterior_pituitary_gland_cells
TSHB	Anterior_pituitary_gland_cells
AANAT	Astrocytes
ACSBG1	Astrocytes
ACSL6	Astrocytes
AGT	Astrocytes
ALDH1L1	Astrocytes
ALDOC	Astrocytes
APOE	Astrocytes
AQP4	Astrocytes
BYSL	Astrocytes
CCR7	Astrocytes
CD40	Astrocytes
CLDN10	Astrocytes
CMTM5	Astrocytes
DIO2	Astrocytes
ENTPD2	Astrocytes
ETS1	Astrocytes
FABP7	Astrocytes
FGFR3	Astrocytes
FZD2	Astrocytes
GFAP	Astrocytes
GJA1	Astrocytes
GJB6	Astrocytes
GPR37L1	Astrocytes
GSTA4	Astrocytes
HMG20A	Astrocytes
HSPA2	Astrocytes
HSPB6	Astrocytes
HTRA1	Astrocytes
IL23A	Astrocytes
ITIH3	Astrocytes
LCAT	Astrocytes
LCN2	Astrocytes
LUZP2	Astrocytes
NFATC3	Astrocytes
NKAIN4	Astrocytes
NTSR2	Astrocytes
PLA2G7	Astrocytes
PLXNB1	Astrocytes
RLBP1	Astrocytes
S100A8	Astrocytes
S100B	Astrocytes
S1PR1	Astrocytes
SLC16A2	Astrocytes
SLC1A2	Astrocytes
SLC1A3	Astrocytes
SLC1A6	Astrocytes
SLC25A28	Astrocytes
SLC25A46	Astrocytes
SLC39A12	Astrocytes
SLC4A4	Astrocytes
SLC6A11	Astrocytes
SLC7A10	Astrocytes
SLIT1	Astrocytes
SNPH	Astrocytes
SOCS3	Astrocytes
SOX9	Astrocytes
SRR	Astrocytes
SYNE1	Astrocytes
SYNM	Astrocytes
TEAD1	Astrocytes
TRIL	Astrocytes
VIM	Astrocytes
WNT3	Astrocytes
B3GAT1	B_cells
BACH2	B_cells
BANK1	B_cells
BCL11A	B_cells
BIRC3	B_cells
BLNK	B_cells
BST1	B_cells
BTLA	B_cells
CCR7	B_cells
CD14	B_cells
CD19	B_cells
CD2	B_cells
CD22	B_cells
CD27	B_cells
CD38	B_cells
CD40	B_cells
CD5	B_cells
CD52	B_cells
CD55	B_cells
CD69	B_cells
CD70	B_cells
CD72	B_cells
CD74	B_cells
CD79A	B_cells
CD79B	B_cells
CD80	B_cells
CD86	B_cells
CMAH	B_cells
CR2	B_cells
CRELD2	B_cells
CXCR4	B_cells
DERL3	B_cells
DNTT	B_cells
DOK3	B_cells
EAF2	B_cells
EBF1	B_cells
EDEM1	B_cells
EDEM2	B_cells
FAM129C	B_cells
FCER2A	B_cells
FCHSD2	B_cells
FCMR	B_cells
FCRLA	B_cells
FKBP11	B_cells
FLI1	B_cells
H2-dmb2	B_cells
H2-oa	B_cells
H2-ob	B_cells
HMGA1	B_cells
HVCN1	B_cells
IFIT3	B_cells
IGHA	B_cells
IGHD	B_cells
IGHG1	B_cells
IGHG3	B_cells
IGHM	B_cells
IGKC	B_cells
IGLC1	B_cells
IGLC2	B_cells
IGLC3	B_cells
IGLL1	B_cells
IGLV1	B_cells
IL21R	B_cells
JCHAIN	B_cells
KLHL6	B_cells
LAIR1	B_cells
LRMP	B_cells
LTB	B_cells
LY6D	B_cells
MME	B_cells
MS4A1	B_cells
MSH5	B_cells
MUM1	B_cells
MZB1	B_cells
PAX5	B_cells
PDCD1	B_cells
POLD4	B_cells
POU2AF1	B_cells
PTPRC	B_cells
PXK	B_cells
RALGPS2	B_cells
RASGRP3	B_cells
SCD1	B_cells
SDC1	B_cells
SEC61A1	B_cells
SEMA6D	B_cells
SIGLECG	B_cells
SLAMF6	B_cells
SMAP2	B_cells
SPCS3	B_cells
SPIB	B_cells
SPN	B_cells
SWAP70	B_cells
TLR9	B_cells
TNFRSF13B	B_cells
TNFRSF13C	B_cells
TNFRSF17	B_cells
TNFRSF9	B_cells
TNFSF4	B_cells
TRP53INP1	B_cells
TXNDC11	B_cells
VPREB1	B_cells
VPREB2	B_cells
VPREB3	B_cells
1,00 SIT	B_cells_memory
ADAM28	B_cells_memory
AIM2	B_cells_memory
ALOX5	B_cells_memory
BACH2	B_cells_memory
BANK1	B_cells_memory
BLK	B_cells_memory
CCR6	B_cells_memory
CD180	B_cells_memory
CD19	B_cells_memory
CD22	B_cells_memory
CD27	B_cells_memory
CD37	B_cells_memory
CD38	B_cells_memory
CD69	B_cells_memory
CD72	B_cells_memory
CD79A	B_cells_memory
CD79B	B_cells_memory
CD80	B_cells_memory
CD84	B_cells_memory
CD86	B_cells_memory
CR2	B_cells_memory
CXCR5	B_cells_memory
DENND5B	B_cells_memory
FCGR2B	B_cells_memory
FRK	B_cells_memory
GNG7	B_cells_memory
HHEX	B_cells_memory
IGHD	B_cells_memory
IGHM	B_cells_memory
IGKC	B_cells_memory
IL7	B_cells_memory
IRF8	B_cells_memory
LTB	B_cells_memory
LY86	B_cells_memory
MBL2	B_cells_memory
MS4A1	B_cells_memory
NMBR	B_cells_memory
NT5E	B_cells_memory
P2RX5	B_cells_memory
PAX5	B_cells_memory
PNOC	B_cells_memory
PTPRC	B_cells_memory
PTPRCAP	B_cells_memory
RALGPS2	B_cells_memory
RASGRP2	B_cells_memory
SIK1	B_cells_memory
SLC12A1	B_cells_memory
SP140	B_cells_memory
SPIB	B_cells_memory
STAP1	B_cells_memory
TMEM156	B_cells_memory
TNFRSF13B	B_cells_memory
TNFRSF17	B_cells_memory
TRAF4	B_cells_memory
VPREB3	B_cells_memory
ZBTB32	B_cells_memory
ABCB4	B_cells_naive
ADAM28	B_cells_naive
BACH2	B_cells_naive
BANK1	B_cells_naive
BCL7A	B_cells_naive
BEND5	B_cells_naive
BIRC3	B_cells_naive
BLK	B_cells_naive
BRAF	B_cells_naive
CD180	B_cells_naive
CD19	B_cells_naive
CD2	B_cells_naive
CD22	B_cells_naive
CD37	B_cells_naive
CD52	B_cells_naive
CD69	B_cells_naive
CD72	B_cells_naive
CD74	B_cells_naive
CD79A	B_cells_naive
CD79B	B_cells_naive
CR2	B_cells_naive
CXCR5	B_cells_naive
EAF2	B_cells_naive
FCGR2B	B_cells_naive
FOXP1	B_cells_naive
FRK	B_cells_naive
HHEX	B_cells_naive
IGHD	B_cells_naive
IGHM	B_cells_naive
IGKC	B_cells_naive
IL2RA	B_cells_naive
IRF8	B_cells_naive
LTB	B_cells_naive
LY86	B_cells_naive
MEP1A	B_cells_naive
MICAL3	B_cells_naive
MITF	B_cells_naive
MME	B_cells_naive
MS4A1	B_cells_naive
NMBR	B_cells_naive
P2RX5	B_cells_naive
P2RY14	B_cells_naive
PNOC	B_cells_naive
PTPRCAP	B_cells_naive
RALGPS2	B_cells_naive
RASGRP2	B_cells_naive
SELL	B_cells_naive
SIK1	B_cells_naive
SLC12A1	B_cells_naive
SPIB	B_cells_naive
STAG3	B_cells_naive
STAP1	B_cells_naive
TNFRSF13C	B_cells_naive
TNFSF8	B_cells_naive
UGT1A8	B_cells_naive
VPREB3	B_cells_naive
ACADVL	Basal_cells
ACTG2	Basal_cells
ALKBH7	Basal_cells
ANXA11	Basal_cells
BACE2	Basal_cells
BCL2	Basal_cells
BMP7	Basal_cells
BNIP3	Basal_cells
CAPN1	Basal_cells
CDH3	Basal_cells
CTNNB1	Basal_cells
DNPH1	Basal_cells
DPP7	Basal_cells
DUSP23	Basal_cells
FBXO32	Basal_cells
GYPC	Basal_cells
HEBP2	Basal_cells
ILK	Basal_cells
IRF6	Basal_cells
ITGA2	Basal_cells
ITGA3	Basal_cells
ITGB4	Basal_cells
ITGB6	Basal_cells
KRT14	Basal_cells
KRT15	Basal_cells
KRT17	Basal_cells
KRT23	Basal_cells
KRT5	Basal_cells
KRT6B	Basal_cells
LAMB3	Basal_cells
LAMC2	Basal_cells
METTL5	Basal_cells
MMP7	Basal_cells
MYLK	Basal_cells
NNMT	Basal_cells
OPTN	Basal_cells
PKP3	Basal_cells
PLAU	Basal_cells
PLP2	Basal_cells
RAB13	Basal_cells
RAB38	Basal_cells
RARRES1	Basal_cells
S100A14	Basal_cells
SERINC2	Basal_cells
SLC16A3	Basal_cells
SLC25A37	Basal_cells
SPHK1	Basal_cells
SRSF4	Basal_cells
TMEM14A	Basal_cells
TYMP	Basal_cells
ACSS2	Basophils
ADORA2B	Basophils
ALOX8	Basophils
AQP9	Basophils
BACE1	Basophils
BMP4	Basophils
CABLES1	Basophils
CCL3	Basophils
CCL4	Basophils
CCL9	Basophils
CCR3	Basophils
CD33	Basophils
CD44	Basophils
CD69	Basophils
CDH1	Basophils
CEBPA	Basophils
CPA3	Basophils
DEFB40	Basophils
DNASE2B	Basophils
E2F8	Basophils
ENPP3	Basophils
FADS1	Basophils
FADS2	Basophils
FAR2	Basophils
FBXO9	Basophils
FCER1A	Basophils
GABBR1	Basophils
GATA2	Basophils
GPC4	Basophils
GPR183	Basophils
GRM6	Basophils
HDC	Basophils
HGF	Basophils
HIST1H1D	Basophils
HIST1H2AC	Basophils
HTR1B	Basophils
ID1	Basophils
IFITM1	Basophils
IGFBP7	Basophils
IL3RA	Basophils
IL4	Basophils
INF2	Basophils
ITGAL	Basophils
ITGAM	Basophils
ITGAX	Basophils
ITGB7	Basophils
JAZF1	Basophils
L1CAM	Basophils
LAMA5	Basophils
LTC4S	Basophils
MBOAT1	Basophils
MCPT8	Basophils
MRGPRA6	Basophils
MS4A2	Basophils
MS4A3	Basophils
NFIL3	Basophils
NPL	Basophils
NT5C3	Basophils
OSBPL5	Basophils
OTUB2	Basophils
P2RY1	Basophils
PDK3	Basophils
PDZD4	Basophils
PERP	Basophils
PLEKHG5	Basophils
PLG	Basophils
PRSS34	Basophils
RNF39	Basophils
SLC26A3	Basophils
SLC26A8	Basophils
SNCAIP	Basophils
ST6GALNAC5	Basophils
TEC	Basophils
TLR4	Basophils
TULP3	Basophils
UNC93A	Basophils
WRN	Basophils
A2M	Bergmann_glia
ACSBG1	Bergmann_glia
ALDH1L1	Bergmann_glia
AQP4	Bergmann_glia
ATP7A	Bergmann_glia
BICD2	Bergmann_glia
BTBD17	Bergmann_glia
CDC42EP4	Bergmann_glia
DAO	Bergmann_glia
EGFR	Bergmann_glia
FABP7	Bergmann_glia
GDF10	Bergmann_glia
GFAP	Bergmann_glia
GJA1	Bergmann_glia
GJB6	Bergmann_glia
GPR37L1	Bergmann_glia
GRIA1	Bergmann_glia
GRIA4	Bergmann_glia
GRIN2B	Bergmann_glia
GRIN3A	Bergmann_glia
GRM3	Bergmann_glia
HEPACAM	Bergmann_glia
HOPX	Bergmann_glia
ITGB1	Bergmann_glia
ITIH3	Bergmann_glia
KIF1BP	Bergmann_glia
METRN	Bergmann_glia
NRXN3	Bergmann_glia
NTSR2	Bergmann_glia
P2RX7	Bergmann_glia
P2RY1	Bergmann_glia
PTCH1	Bergmann_glia
S100B	Bergmann_glia
SEPT4	Bergmann_glia
SLC1A2	Bergmann_glia
SLC1A3	Bergmann_glia
SLC4A4	Bergmann_glia
TTC21B	Bergmann_glia
UFL1	Bergmann_glia
VIM	Bergmann_glia
ZEB2	Bergmann_glia
ADCYAP1	Beta_cells
BMP5	Beta_cells
CASR	Beta_cells
CD40	Beta_cells
DLK1	Beta_cells
EDARADD	Beta_cells
EFNA5	Beta_cells
ERO1LB	Beta_cells
EZH1	Beta_cells
FFAR2	Beta_cells
FXYD2	Beta_cells
G6PC2	Beta_cells
GCGR	Beta_cells
GJD2	Beta_cells
HAMP	Beta_cells
HOPX	Beta_cells
IAPP	Beta_cells
IGF2	Beta_cells
INS1	Beta_cells
INS2	Beta_cells
ISL1	Beta_cells
JPH3	Beta_cells
LMX1A	Beta_cells
MAFA	Beta_cells
MAFB	Beta_cells
MEG3	Beta_cells
NEUROD1	Beta_cells
NKX2-2	Beta_cells
NKX6-1	Beta_cells
NKX6-2	Beta_cells
NPTX2	Beta_cells
NPY	Beta_cells
NTRK1	Beta_cells
PAX4	Beta_cells
PAX6	Beta_cells
PCSK1	Beta_cells
PCSK2	Beta_cells
PDX1	Beta_cells
PFKFB2	Beta_cells
PIR	Beta_cells
RGS16	Beta_cells
RIMS1	Beta_cells
SCGN	Beta_cells
SH3GL2	Beta_cells
SIX2	Beta_cells
SIX3	Beta_cells
SLC2A2	Beta_cells
SLC30A8	Beta_cells
SMAD9	Beta_cells
STXBP5	Beta_cells
SYT13	Beta_cells
TGFBR3	Beta_cells
44257	Blood_vascular_Endothelial_cells
1810011O10Rik	Blood_vascular_Endothelial_cells
1810037I17Rik	Blood_vascular_Endothelial_cells
2610305D13Rik	Blood_vascular_Endothelial_cells
2900026A02Rik	Blood_vascular_Endothelial_cells
4921524J17Rik	Blood_vascular_Endothelial_cells
4931406P16Rik	Blood_vascular_Endothelial_cells
8430408G22Rik	Blood_vascular_Endothelial_cells
9430020K01Rik	Blood_vascular_Endothelial_cells
Abca1	Blood_vascular_Endothelial_cells
Abca3	Blood_vascular_Endothelial_cells
Abcg2	Blood_vascular_Endothelial_cells
Abhd17a	Blood_vascular_Endothelial_cells
Abi3	Blood_vascular_Endothelial_cells
Ablim1	Blood_vascular_Endothelial_cells
Acsl5	Blood_vascular_Endothelial_cells
Actb	Blood_vascular_Endothelial_cells
Actg1	Blood_vascular_Endothelial_cells
Actn4	Blood_vascular_Endothelial_cells
Actr2	Blood_vascular_Endothelial_cells
Actr3	Blood_vascular_Endothelial_cells
Acvrl1	Blood_vascular_Endothelial_cells
Adam10	Blood_vascular_Endothelial_cells
Adam15	Blood_vascular_Endothelial_cells
Adam19	Blood_vascular_Endothelial_cells
Adcy4	Blood_vascular_Endothelial_cells
Adgre5	Blood_vascular_Endothelial_cells
Adgrf5	Blood_vascular_Endothelial_cells
Adgrg3	Blood_vascular_Endothelial_cells
Adgrl4	Blood_vascular_Endothelial_cells
Adipor1	Blood_vascular_Endothelial_cells
Adm	Blood_vascular_Endothelial_cells
Adora2a	Blood_vascular_Endothelial_cells
Adss	Blood_vascular_Endothelial_cells
Afap1l1	Blood_vascular_Endothelial_cells
Agap3	Blood_vascular_Endothelial_cells
Agpat4	Blood_vascular_Endothelial_cells
Akt1	Blood_vascular_Endothelial_cells
Aldoa	Blood_vascular_Endothelial_cells
Ammecr1	Blood_vascular_Endothelial_cells
Amotl1	Blood_vascular_Endothelial_cells
Anxa11	Blood_vascular_Endothelial_cells
Anxa3	Blood_vascular_Endothelial_cells
Anxa6	Blood_vascular_Endothelial_cells
Ap1s1	Blood_vascular_Endothelial_cells
Ap2s1	Blood_vascular_Endothelial_cells
Apbb2	Blood_vascular_Endothelial_cells
Apln	Blood_vascular_Endothelial_cells
Aplnr	Blood_vascular_Endothelial_cells
Aplp2	Blood_vascular_Endothelial_cells
Apobec3	Blood_vascular_Endothelial_cells
Apold1	Blood_vascular_Endothelial_cells
App	Blood_vascular_Endothelial_cells
Aprt	Blood_vascular_Endothelial_cells
Aqp1	Blood_vascular_Endothelial_cells
Arap3	Blood_vascular_Endothelial_cells
Arhgap18	Blood_vascular_Endothelial_cells
Arhgap25	Blood_vascular_Endothelial_cells
Arhgap27	Blood_vascular_Endothelial_cells
Arhgap29	Blood_vascular_Endothelial_cells
Arhgap31	Blood_vascular_Endothelial_cells
Arhgdia	Blood_vascular_Endothelial_cells
Arhgef1	Blood_vascular_Endothelial_cells
Arhgef12	Blood_vascular_Endothelial_cells
Arhgef15	Blood_vascular_Endothelial_cells
Arhgef2	Blood_vascular_Endothelial_cells
Arhgef28	Blood_vascular_Endothelial_cells
Arhgef5	Blood_vascular_Endothelial_cells
Arhgef7	Blood_vascular_Endothelial_cells
Arid3a	Blood_vascular_Endothelial_cells
Arl6ip5	Blood_vascular_Endothelial_cells
Armcx4	Blood_vascular_Endothelial_cells
Arpc1b	Blood_vascular_Endothelial_cells
Arpc2	Blood_vascular_Endothelial_cells
Arpc3	Blood_vascular_Endothelial_cells
Arpc4	Blood_vascular_Endothelial_cells
Arpc5	Blood_vascular_Endothelial_cells
Asap2	Blood_vascular_Endothelial_cells
Asb4	Blood_vascular_Endothelial_cells
Atox1	Blood_vascular_Endothelial_cells
Atp1a1	Blood_vascular_Endothelial_cells
Atp1b3	Blood_vascular_Endothelial_cells
Atp5b	Blood_vascular_Endothelial_cells
B2m	Blood_vascular_Endothelial_cells
Bambi	Blood_vascular_Endothelial_cells
BC028528	Blood_vascular_Endothelial_cells
Bcar1	Blood_vascular_Endothelial_cells
Bcl6b	Blood_vascular_Endothelial_cells
Bik	Blood_vascular_Endothelial_cells
Bnip2	Blood_vascular_Endothelial_cells
Bok	Blood_vascular_Endothelial_cells
Bola2	Blood_vascular_Endothelial_cells
Bst2	Blood_vascular_Endothelial_cells
Btbd3	Blood_vascular_Endothelial_cells
Btg1	Blood_vascular_Endothelial_cells
Btg2	Blood_vascular_Endothelial_cells
Bvht	Blood_vascular_Endothelial_cells
C130074G19Rik	Blood_vascular_Endothelial_cells
C1qtnf9	Blood_vascular_Endothelial_cells
Cables1	Blood_vascular_Endothelial_cells
Calcrl	Blood_vascular_Endothelial_cells
Calm1	Blood_vascular_Endothelial_cells
Car8	Blood_vascular_Endothelial_cells
Card10	Blood_vascular_Endothelial_cells
Casd1	Blood_vascular_Endothelial_cells
Caskin2	Blood_vascular_Endothelial_cells
Casp7	Blood_vascular_Endothelial_cells
Casp8	Blood_vascular_Endothelial_cells
Cav1	Blood_vascular_Endothelial_cells
Cav2	Blood_vascular_Endothelial_cells
Cbl	Blood_vascular_Endothelial_cells
Ccdc12	Blood_vascular_Endothelial_cells
Ccdc28b	Blood_vascular_Endothelial_cells
Ccdc85b	Blood_vascular_Endothelial_cells
